t=1:	reg[2] <- fffffff0h
t=3:	mem[1384h] <- 0h
t=3:	mem[1385h] <- 0h
t=3:	mem[1386h] <- 0h
t=3:	mem[1387h] <- 0h
t=5:	mem[1380h] <- 0h
t=5:	mem[1381h] <- 0h
t=5:	mem[1382h] <- 0h
t=5:	mem[1383h] <- 0h
t=7:	mem[137ch] <- 0h
t=7:	mem[137dh] <- 0h
t=7:	mem[137eh] <- 0h
t=7:	mem[137fh] <- 0h
t=9:	reg[8] <- 0h
t=11:	reg[9] <- 1h
t=13:	reg[10] <- 6h
t=15:	pc <- 198h
t=15:	reg[1] <- 44h
t=17:	reg[2] <- ffffffc0h
t=19:	mem[1374h] <- 44h
t=19:	mem[1375h] <- 0h
t=19:	mem[1376h] <- 0h
t=19:	mem[1377h] <- 0h
t=21:	mem[1370h] <- 0h
t=21:	mem[1371h] <- 0h
t=21:	mem[1372h] <- 0h
t=21:	mem[1373h] <- 0h
t=23:	reg[8] <- fffffff0h
t=25:	mem[1354h] <- 6h
t=25:	mem[1355h] <- 0h
t=25:	mem[1356h] <- 0h
t=25:	mem[1357h] <- 0h
t=27:	mem[1364h] <- 0h
t=27:	mem[1365h] <- 0h
t=27:	mem[1366h] <- 0h
t=27:	mem[1367h] <- 0h
t=29:	reg[15] <- 1h
t=31:	mem[1360h] <- 1h
t=31:	mem[1361h] <- 0h
t=31:	mem[1362h] <- 0h
t=31:	mem[1363h] <- 0h
t=33:	pc <- 1e4h
t=35:	reg[14] <- 0h
t=37:	reg[15] <- 6h
t=39:	pc <- 1bch
t=41:	reg[15] <- 1h
t=43:	reg[15] <- 2h
t=45:	mem[1360h] <- 2h
t=45:	mem[1361h] <- 0h
t=45:	mem[1362h] <- 0h
t=45:	mem[1363h] <- 0h
t=47:	reg[10] <- 2h
t=49:	pc <- 10ch
t=49:	reg[1] <- 1d0h
t=51:	reg[2] <- ffffff90h
t=53:	mem[1344h] <- d0h
t=53:	mem[1345h] <- 1h
t=53:	mem[1346h] <- 0h
t=53:	mem[1347h] <- 0h
t=55:	mem[1340h] <- f0h
t=55:	mem[1341h] <- ffh
t=55:	mem[1342h] <- ffh
t=55:	mem[1343h] <- ffh
t=57:	reg[8] <- ffffffc0h
t=59:	mem[1324h] <- 2h
t=59:	mem[1325h] <- 0h
t=59:	mem[1326h] <- 0h
t=59:	mem[1327h] <- 0h
t=61:	reg[14] <- 2h
t=63:	reg[15] <- 1h
t=65:	pc <- 134h
t=67:	reg[15] <- 2h
t=69:	mem[1334h] <- 2h
t=69:	mem[1335h] <- 0h
t=69:	mem[1336h] <- 0h
t=69:	mem[1337h] <- 0h
t=71:	pc <- 168h
t=73:	reg[11] <- 2h
t=75:	reg[10] <- 2h
t=77:	pc <- 68h
t=77:	reg[1] <- 174h
t=79:	reg[2] <- ffffff60h
t=81:	mem[1314h] <- c0h
t=81:	mem[1315h] <- ffh
t=81:	mem[1316h] <- ffh
t=81:	mem[1317h] <- ffh
t=83:	reg[8] <- ffffff90h
t=85:	mem[12f4h] <- 2h
t=85:	mem[12f5h] <- 0h
t=85:	mem[12f6h] <- 0h
t=85:	mem[12f7h] <- 0h
t=87:	mem[12f0h] <- 2h
t=87:	mem[12f1h] <- 0h
t=87:	mem[12f2h] <- 0h
t=87:	mem[12f3h] <- 0h
t=89:	mem[1304h] <- 0h
t=89:	mem[1305h] <- 0h
t=89:	mem[1306h] <- 0h
t=89:	mem[1307h] <- 0h
t=91:	mem[1300h] <- 0h
t=91:	mem[1301h] <- 0h
t=91:	mem[1302h] <- 0h
t=91:	mem[1303h] <- 0h
t=93:	pc <- a4h
t=95:	reg[14] <- 0h
t=97:	reg[15] <- 2h
t=99:	pc <- 88h
t=101:	reg[14] <- 0h
t=103:	reg[15] <- 2h
t=105:	reg[15] <- 2h
t=107:	mem[1304h] <- 2h
t=107:	mem[1305h] <- 0h
t=107:	mem[1306h] <- 0h
t=107:	mem[1307h] <- 0h
t=109:	reg[15] <- 0h
t=111:	reg[15] <- 1h
t=113:	mem[1300h] <- 1h
t=113:	mem[1301h] <- 0h
t=113:	mem[1302h] <- 0h
t=113:	mem[1303h] <- 0h
t=115:	reg[14] <- 1h
t=117:	reg[15] <- 2h
t=119:	pc <- 88h
t=121:	reg[14] <- 2h
t=123:	reg[15] <- 2h
t=125:	reg[15] <- 4h
t=127:	mem[1304h] <- 4h
t=127:	mem[1305h] <- 0h
t=127:	mem[1306h] <- 0h
t=127:	mem[1307h] <- 0h
t=129:	reg[15] <- 1h
t=131:	reg[15] <- 2h
t=133:	mem[1300h] <- 2h
t=133:	mem[1301h] <- 0h
t=133:	mem[1302h] <- 0h
t=133:	mem[1303h] <- 0h
t=135:	reg[14] <- 2h
t=137:	reg[15] <- 2h
t=141:	reg[15] <- 4h
t=143:	reg[10] <- 4h
t=145:	reg[8] <- ffffffc0h
t=147:	reg[2] <- ffffff90h
t=149:	pc <- 174h
t=151:	reg[14] <- 4h
t=153:	reg[15] <- 2h
t=157:	reg[15] <- 1h
t=159:	reg[10] <- 1h
t=161:	reg[1] <- 1d0h
t=163:	reg[8] <- fffffff0h
t=165:	reg[2] <- ffffffc0h
t=167:	pc <- 1d0h
t=169:	reg[15] <- 1h
t=173:	reg[15] <- 0h
t=175:	reg[15] <- 1h
t=177:	mem[1364h] <- 1h
t=177:	mem[1365h] <- 0h
t=177:	mem[1366h] <- 0h
t=177:	mem[1367h] <- 0h
t=179:	reg[14] <- 1h
t=181:	reg[15] <- 6h
t=183:	pc <- 1bch
t=185:	reg[15] <- 2h
t=187:	reg[15] <- 3h
t=189:	mem[1360h] <- 3h
t=189:	mem[1361h] <- 0h
t=189:	mem[1362h] <- 0h
t=189:	mem[1363h] <- 0h
t=191:	reg[10] <- 3h
t=193:	pc <- 10ch
t=193:	reg[1] <- 1d0h
t=195:	reg[2] <- ffffff90h
t=197:	mem[1344h] <- d0h
t=197:	mem[1345h] <- 1h
t=197:	mem[1346h] <- 0h
t=197:	mem[1347h] <- 0h
t=199:	mem[1340h] <- f0h
t=199:	mem[1341h] <- ffh
t=199:	mem[1342h] <- ffh
t=199:	mem[1343h] <- ffh
t=201:	reg[8] <- ffffffc0h
t=203:	mem[1324h] <- 3h
t=203:	mem[1325h] <- 0h
t=203:	mem[1326h] <- 0h
t=203:	mem[1327h] <- 0h
t=205:	reg[14] <- 3h
t=207:	reg[15] <- 1h
t=209:	pc <- 134h
t=211:	reg[15] <- 2h
t=213:	mem[1334h] <- 2h
t=213:	mem[1335h] <- 0h
t=213:	mem[1336h] <- 0h
t=213:	mem[1337h] <- 0h
t=215:	pc <- 168h
t=217:	reg[11] <- 2h
t=219:	reg[10] <- 2h
t=221:	pc <- 68h
t=221:	reg[1] <- 174h
t=223:	reg[2] <- ffffff60h
t=225:	mem[1314h] <- c0h
t=225:	mem[1315h] <- ffh
t=225:	mem[1316h] <- ffh
t=225:	mem[1317h] <- ffh
t=227:	reg[8] <- ffffff90h
t=229:	mem[12f4h] <- 2h
t=229:	mem[12f5h] <- 0h
t=229:	mem[12f6h] <- 0h
t=229:	mem[12f7h] <- 0h
t=231:	mem[12f0h] <- 2h
t=231:	mem[12f1h] <- 0h
t=231:	mem[12f2h] <- 0h
t=231:	mem[12f3h] <- 0h
t=233:	mem[1304h] <- 0h
t=233:	mem[1305h] <- 0h
t=233:	mem[1306h] <- 0h
t=233:	mem[1307h] <- 0h
t=235:	mem[1300h] <- 0h
t=235:	mem[1301h] <- 0h
t=235:	mem[1302h] <- 0h
t=235:	mem[1303h] <- 0h
t=237:	pc <- a4h
t=239:	reg[14] <- 0h
t=241:	reg[15] <- 2h
t=243:	pc <- 88h
t=245:	reg[14] <- 0h
t=247:	reg[15] <- 2h
t=249:	reg[15] <- 2h
t=251:	mem[1304h] <- 2h
t=251:	mem[1305h] <- 0h
t=251:	mem[1306h] <- 0h
t=251:	mem[1307h] <- 0h
t=253:	reg[15] <- 0h
t=255:	reg[15] <- 1h
t=257:	mem[1300h] <- 1h
t=257:	mem[1301h] <- 0h
t=257:	mem[1302h] <- 0h
t=257:	mem[1303h] <- 0h
t=259:	reg[14] <- 1h
t=261:	reg[15] <- 2h
t=263:	pc <- 88h
t=265:	reg[14] <- 2h
t=267:	reg[15] <- 2h
t=269:	reg[15] <- 4h
t=271:	mem[1304h] <- 4h
t=271:	mem[1305h] <- 0h
t=271:	mem[1306h] <- 0h
t=271:	mem[1307h] <- 0h
t=273:	reg[15] <- 1h
t=275:	reg[15] <- 2h
t=277:	mem[1300h] <- 2h
t=277:	mem[1301h] <- 0h
t=277:	mem[1302h] <- 0h
t=277:	mem[1303h] <- 0h
t=279:	reg[14] <- 2h
t=281:	reg[15] <- 2h
t=285:	reg[15] <- 4h
t=287:	reg[10] <- 4h
t=289:	reg[8] <- ffffffc0h
t=291:	reg[2] <- ffffff90h
t=293:	pc <- 174h
t=295:	reg[14] <- 4h
t=297:	reg[15] <- 3h
t=301:	reg[15] <- 1h
t=303:	reg[10] <- 1h
t=305:	reg[1] <- 1d0h
t=307:	reg[8] <- fffffff0h
t=309:	reg[2] <- ffffffc0h
t=311:	pc <- 1d0h
t=313:	reg[15] <- 1h
t=317:	reg[15] <- 1h
t=319:	reg[15] <- 2h
t=321:	mem[1364h] <- 2h
t=321:	mem[1365h] <- 0h
t=321:	mem[1366h] <- 0h
t=321:	mem[1367h] <- 0h
t=323:	reg[14] <- 2h
t=325:	reg[15] <- 6h
t=327:	pc <- 1bch
t=329:	reg[15] <- 3h
t=331:	reg[15] <- 4h
t=333:	mem[1360h] <- 4h
t=333:	mem[1361h] <- 0h
t=333:	mem[1362h] <- 0h
t=333:	mem[1363h] <- 0h
t=335:	reg[10] <- 4h
t=337:	pc <- 10ch
t=337:	reg[1] <- 1d0h
t=339:	reg[2] <- ffffff90h
